Date,Open,High,Low,Close,Shares Traded(Cr),Turnover (Rs Cr),Price/Earnings,Price/Bookvalue,Dividend Yield
1-January-1990,0.00,0.00,0.00,783.35,-,-,0.00,0.00,0.00,
2-January-1990,0.00,0.00,0.00,780.01,-,-,0.00,0.00,0.00,
3-January-1990,0.00,0.00,0.00,763.22,-,-,0.00,0.00,0.00,
4-January-1990,0.00,0.00,0.00,760.80,-,-,0.00,0.00,0.00,
5-January-1990,0.00,0.00,0.00,774.58,-,-,0.00,0.00,0.00,
8-January-1990,0.00,0.00,0.00,778.33,-,-,0.00,0.00,0.00,
9-January-1990,0.00,0.00,0.00,774.50,-,-,0.00,0.00,0.00,
10-January-1990,0.00,0.00,0.00,782.48,-,-,0.00,0.00,0.00,
11-January-1990,0.00,0.00,0.00,780.34,-,-,0.00,0.00,0.00,
15-January-1990,0.00,0.00,0.00,763.55,-,-,0.00,0.00,0.00,
16-January-1990,0.00,0.00,0.00,755.58,-,-,0.00,0.00,0.00,
17-January-1990,0.00,0.00,0.00,745.19,-,-,0.00,0.00,0.00,
18-January-1990,0.00,0.00,0.00,738.58,-,-,0.00,0.00,0.00,
19-January-1990,0.00,0.00,0.00,710.75,-,-,0.00,0.00,0.00,
22-January-1990,0.00,0.00,0.00,706.85,-,-,0.00,0.00,0.00,
23-January-1990,0.00,0.00,0.00,722.01,-,-,0.00,0.00,0.00,
24-January-1990,0.00,0.00,0.00,718.95,-,-,0.00,0.00,0.00,
25-January-1990,0.00,0.00,0.00,716.23,-,-,0.00,0.00,0.00,
30-January-1990,0.00,0.00,0.00,701.08,-,-,0.00,0.00,0.00,
31-January-1990,0.00,0.00,0.00,683.32,-,-,0.00,0.00,0.00,
1-February-1990,0.00,0.00,0.00,692.41,-,-,0.00,0.00,0.00,
2-February-1990,0.00,0.00,0.00,684.48,-,-,0.00,0.00,0.00,
6-February-1990,0.00,0.00,0.00,674.26,-,-,0.00,0.00,0.00,
7-February-1990,0.00,0.00,0.00,674.47,-,-,0.00,0.00,0.00,
8-February-1990,0.00,0.00,0.00,659.30,-,-,0.00,0.00,0.00,
12-February-1990,0.00,0.00,0.00,673.27,-,-,0.00,0.00,0.00,
13-February-1990,0.00,0.00,0.00,673.26,-,-,0.00,0.00,0.00,
14-February-1990,0.00,0.00,0.00,679.29,-,-,0.00,0.00,0.00,
15-February-1990,0.00,0.00,0.00,690.07,-,-,0.00,0.00,0.00,
16-February-1990,0.00,0.00,0.00,689.98,-,-,0.00,0.00,0.00,
19-February-1990,0.00,0.00,0.00,679.53,-,-,0.00,0.00,0.00,
20-February-1990,0.00,0.00,0.00,674.47,-,-,0.00,0.00,0.00,
21-February-1990,0.00,0.00,0.00,678.57,-,-,0.00,0.00,0.00,
22-February-1990,0.00,0.00,0.00,678.97,-,-,0.00,0.00,0.00,
26-February-1990,0.00,0.00,0.00,680.58,-,-,0.00,0.00,0.00,
28-February-1990,0.00,0.00,0.00,676.23,-,-,0.00,0.00,0.00,
1-March-1990,0.00,0.00,0.00,692.58,-,-,0.00,0.00,0.00,
2-March-1990,0.00,0.00,0.00,691.61,-,-,0.00,0.00,0.00,
5-March-1990,0.00,0.00,0.00,685.88,-,-,0.00,0.00,0.00,
6-March-1990,0.00,0.00,0.00,678.70,-,-,0.00,0.00,0.00,
7-March-1990,0.00,0.00,0.00,678.38,-,-,0.00,0.00,0.00,
8-March-1990,0.00,0.00,0.00,670.38,-,-,0.00,0.00,0.00,
9-March-1990,0.00,0.00,0.00,673.94,-,-,0.00,0.00,0.00,
13-March-1990,0.00,0.00,0.00,688.08,-,-,0.00,0.00,0.00,
14-March-1990,0.00,0.00,0.00,683.47,-,-,0.00,0.00,0.00,
15-March-1990,0.00,0.00,0.00,678.91,-,-,0.00,0.00,0.00,
16-March-1990,0.00,0.00,0.00,686.29,-,-,0.00,0.00,0.00,
19-March-1990,0.00,0.00,0.00,711.04,-,-,0.00,0.00,0.00,
20-March-1990,0.00,0.00,0.00,726.31,-,-,0.00,0.00,0.00,
21-March-1990,0.00,0.00,0.00,721.69,-,-,0.00,0.00,0.00,
22-March-1990,0.00,0.00,0.00,738.22,-,-,0.00,0.00,0.00,
23-March-1990,0.00,0.00,0.00,757.76,-,-,0.00,0.00,0.00,
26-March-1990,0.00,0.00,0.00,761.33,-,-,0.00,0.00,0.00,
28-March-1990,0.00,0.00,0.00,770.30,-,-,0.00,0.00,0.00,
29-March-1990,0.00,0.00,0.00,767.74,-,-,0.00,0.00,0.00,
30-March-1990,0.00,0.00,0.00,781.05,-,-,0.00,0.00,0.00,
2-April-1990,0.00,0.00,0.00,782.97,-,-,0.00,0.00,0.00,
4-April-1990,0.00,0.00,0.00,805.86,-,-,0.00,0.00,0.00,
5-April-1990,0.00,0.00,0.00,794.44,-,-,0.00,0.00,0.00,
6-April-1990,0.00,0.00,0.00,770.74,-,-,0.00,0.00,0.00,
9-April-1990,0.00,0.00,0.00,769.97,-,-,0.00,0.00,0.00,
10-April-1990,0.00,0.00,0.00,781.17,-,-,0.00,0.00,0.00,
12-April-1990,0.00,0.00,0.00,748.79,-,-,0.00,0.00,0.00,
17-April-1990,0.00,0.00,0.00,755.58,-,-,0.00,0.00,0.00,
18-April-1990,0.00,0.00,0.00,773.76,-,-,0.00,0.00,0.00,
19-April-1990,0.00,0.00,0.00,759.15,-,-,0.00,0.00,0.00,
20-April-1990,0.00,0.00,0.00,787.36,-,-,0.00,0.00,0.00,
23-April-1990,0.00,0.00,0.00,792.57,-,-,0.00,0.00,0.00,
24-April-1990,0.00,0.00,0.00,791.79,-,-,0.00,0.00,0.00,
25-April-1990,0.00,0.00,0.00,793.58,-,-,0.00,0.00,0.00,
30-April-1990,0.00,0.00,0.00,795.13,-,-,0.00,0.00,0.00,
2-May-1990,0.00,0.00,0.00,786.21,-,-,0.00,0.00,0.00,
3-May-1990,0.00,0.00,0.00,779.22,-,-,0.00,0.00,0.00,
4-May-1990,0.00,0.00,0.00,776.11,-,-,0.00,0.00,0.00,
7-May-1990,0.00,0.00,0.00,779.38,-,-,0.00,0.00,0.00,
8-May-1990,0.00,0.00,0.00,785.19,-,-,0.00,0.00,0.00,
10-May-1990,0.00,0.00,0.00,779.50,-,-,0.00,0.00,0.00,
11-May-1990,0.00,0.00,0.00,780.73,-,-,0.00,0.00,0.00,
14-May-1990,0.00,0.00,0.00,774.75,-,-,0.00,0.00,0.00,
15-May-1990,0.00,0.00,0.00,786.90,-,-,0.00,0.00,0.00,
17-May-1990,0.00,0.00,0.00,770.36,-,-,0.00,0.00,0.00,
18-May-1990,0.00,0.00,0.00,767.02,-,-,0.00,0.00,0.00,
21-May-1990,0.00,0.00,0.00,780.30,-,-,0.00,0.00,0.00,
22-May-1990,0.00,0.00,0.00,777.96,-,-,0.00,0.00,0.00,
23-May-1990,0.00,0.00,0.00,788.14,-,-,0.00,0.00,0.00,
24-May-1990,0.00,0.00,0.00,786.08,-,-,0.00,0.00,0.00,
25-May-1990,0.00,0.00,0.00,787.10,-,-,0.00,0.00,0.00,
28-May-1990,0.00,0.00,0.00,810.15,-,-,0.00,0.00,0.00,
29-May-1990,0.00,0.00,0.00,811.59,-,-,0.00,0.00,0.00,
30-May-1990,0.00,0.00,0.00,803.89,-,-,0.00,0.00,0.00,
31-May-1990,0.00,0.00,0.00,800.80,-,-,0.00,0.00,0.00,
1-June-1990,0.00,0.00,0.00,799.50,-,-,0.00,0.00,0.00,
4-June-1990,0.00,0.00,0.00,797.61,-,-,0.00,0.00,0.00,
5-June-1990,0.00,0.00,0.00,795.11,-,-,0.00,0.00,0.00,
6-June-1990,0.00,0.00,0.00,794.18,-,-,0.00,0.00,0.00,
7-June-1990,0.00,0.00,0.00,790.03,-,-,0.00,0.00,0.00,
11-June-1990,0.00,0.00,0.00,794.70,-,-,0.00,0.00,0.00,
12-June-1990,0.00,0.00,0.00,787.36,-,-,0.00,0.00,0.00,
13-June-1990,0.00,0.00,0.00,781.66,-,-,0.00,0.00,0.00,
14-June-1990,0.00,0.00,0.00,783.21,-,-,0.00,0.00,0.00,
15-June-1990,0.00,0.00,0.00,785.75,-,-,0.00,0.00,0.00,
18-June-1990,0.00,0.00,0.00,791.32,-,-,0.00,0.00,0.00,
19-June-1990,0.00,0.00,0.00,790.76,-,-,0.00,0.00,0.00,
20-June-1990,0.00,0.00,0.00,790.31,-,-,0.00,0.00,0.00,
21-June-1990,0.00,0.00,0.00,800.30,-,-,0.00,0.00,0.00,
22-June-1990,0.00,0.00,0.00,814.72,-,-,0.00,0.00,0.00,
25-June-1990,0.00,0.00,0.00,817.54,-,-,0.00,0.00,0.00,
26-June-1990,0.00,0.00,0.00,820.35,-,-,0.00,0.00,0.00,
27-June-1990,0.00,0.00,0.00,829.47,-,-,0.00,0.00,0.00,
28-June-1990,0.00,0.00,0.00,834.49,-,-,0.00,0.00,0.00,
29-June-1990,0.00,0.00,0.00,850.50,-,-,0.00,0.00,0.00,
3-July-1990,0.00,0.00,0.00,862.88,-,-,0.00,0.00,0.00,
5-July-1990,0.00,0.00,0.00,883.03,-,-,0.00,0.00,0.00,
6-July-1990,0.00,0.00,0.00,896.25,-,-,0.00,0.00,0.00,
9-July-1990,0.00,0.00,0.00,896.16,-,-,0.00,0.00,0.00,
10-July-1990,0.00,0.00,0.00,893.08,-,-,0.00,0.00,0.00,
11-July-1990,0.00,0.00,0.00,909.30,-,-,0.00,0.00,0.00,
12-July-1990,0.00,0.00,0.00,924.29,-,-,0.00,0.00,0.00,
13-July-1990,0.00,0.00,0.00,920.24,-,-,0.00,0.00,0.00,
16-July-1990,0.00,0.00,0.00,886.33,-,-,0.00,0.00,0.00,
17-July-1990,0.00,0.00,0.00,916.93,-,-,0.00,0.00,0.00,
18-July-1990,0.00,0.00,0.00,926.92,-,-,0.00,0.00,0.00,
19-July-1990,0.00,0.00,0.00,941.70,-,-,0.00,0.00,0.00,
20-July-1990,0.00,0.00,0.00,940.73,-,-,0.00,0.00,0.00,
25-July-1990,0.00,0.00,0.00,1007.97,-,-,0.00,0.00,0.00,
26-July-1990,0.00,0.00,0.00,1008.12,-,-,0.00,0.00,0.00,
27-July-1990,0.00,0.00,0.00,1033.15,-,-,0.00,0.00,0.00,
30-July-1990,0.00,0.00,0.00,1098.95,-,-,0.00,0.00,0.00,
